frame,shepherd,min_distance,max_distance,avg_distance,furthest_sheep_distance,dog_speed,min_speed,max_speed,avg_speed
157,dog,,,,991.7667316461065,0.0,21.213203435596427,293.100345445037,75.01164905156406
158,dog,80.00624975587844,964.9891191096406,418.3178886687486,990.2444142735671,281.2749988889876,24.011715890373186,36.93321675673539,29.976607218896504
159,dog,75.7099729229908,976.9278376625368,425.4135143279756,992.2783127731856,277.5253366811758,24.011715890373186,42.75657844121767,32.12838807276579
160,dog,72.44308110509934,986.6813061977005,430.95952530021367,993.7898419686126,273.8527204538965,18.75,45.15597967047111,32.905191095286675
161,dog,72.24956747275377,998.5294186953132,440.0425639768606,992.2665972408828,270.0260404109204,28.559149146989657,38.60861302870126,32.33999250563221
162,dog,149.21461054467824,1010.5701361112943,542.8627673553638,885.5954211715415,270.9358780228266,27.04163456597992,45.311422400979644,36.7204089051466
163,dog,78.77182237323191,1021.7108201443302,458.6942105432496,993.2899878685982,289.9407267011656,23.717082451262847,40.38873605350878,35.00501550708411
164,dog,85.86617494683223,1030.95926204676,467.834895958288,992.778172604535,303.935128769282,35.37742924521226,48.75,42.50848429517815
165,dog,91.26883367283708,1041.9069056302487,478.00851689249794,993.2899878685982,315.04463969412336,40.562451848969886,46.38493828819868,43.74950603814112
166,dog,99.40321926376429,1048.9709242872273,485.9960492267061,991.2553909058956,302.8226584983363,0.0,45.311422400979644,33.72606432885986
167,dog,102.1763181955584,1058.828125807017,493.55906552842407,993.7778926903134,279.11691098892595,36.93321675673539,50.31152949374527,44.64648864591627
168,dog,108.89444430272832,1067.6933080243596,501.6961355456566,992.290280109606,270.1041465805366,35.57562367689427,48.75,43.11886994372658
169,dog,113.56936206565572,1170.5426092201856,620.5966487736054,1094.1097979636231,247.61361028828767,0.0,51.00551440775792,36.5916049415615
170,dog,120.0,1179.362963637573,629.2789096554858,1093.6028758191887,247.5,0.0,54.60082416960389,41.15950734759711
